-0.28,-0.01,-0.09,0.08,-0.5,-0.33,-1.73,-1.43,-2.44,-2.09,-0.07,-0.25,-0.36,-0.48,-2.01,-1.22,-0.17,-0.24,-1.6,-2.43,-1.89,-0.17,0.02,-0.87,-1.01,0
-0.73,-0.37,0.08,-0.1,-0.35,0.25,-0.88,0.63,-2.13,-0.33,0.36,0.0,0.09,1.03,-1.03,1.37,-0.22,-0.57,-0.09,-0.99,0.1,-0.16,-0.2,0.19,-0.51,1
0.83,0.66,0.09,-0.09,-0.23,-0.64,-0.73,-0.58,-2.65,-1.1,0.21,-0.52,0.15,-0.13,-0.75,0.39,-0.2,-0.67,-1.08,-1.71,-1.09,-0.17,-0.61,-0.64,-0.45,0
-0.75,-1.12,0.02,-0.02,0.75,0.62,1.43,1.34,1.5,1.32,-0.65,-0.85,-0.05,-0.28,1.6,0.09,0.47,1.03,0.95,1.66,1.5,0.77,0.79,1.18,0.98,0
1.4,1.46,0.0,-0.04,-0.83,-0.82,-1.47,-1.51,-2.37,-2.56,-0.91,-1.09,-1.73,-1.59,-2.37,-1.53,0.02,-1.03,-1.07,-1.45,-1.57,-0.15,-0.29,-0.99,-0.92,1
-0.4,-0.18,-0.27,0.27,0.82,0.88,2.68,1.66,2.43,1.24,0.38,0.93,1.5,1.38,3.28,1.7,-0.22,0.29,1.87,2.74,1.78,-0.03,0.26,1.08,1.11,0
0.33,0.68,-0.18,0.12,-0.47,-0.11,-1.01,-0.23,-3.26,-2.04,-0.3,0.12,-0.14,0.14,-1.63,-0.14,0.08,-0.53,-0.35,-1.45,-0.72,-0.06,-0.05,-0.25,-0.49,1
0.61,1.02,0.05,-0.08,-0.54,-0.2,-0.63,0.13,-1.66,-0.51,0.09,0.1,-0.3,0.25,-0.52,0.4,-0.4,-0.84,-0.09,-0.71,-0.03,-0.53,-0.59,-0.18,-0.47,0
-1.42,-1.8,-0.2,0.09,1.6,1.56,2.39,2.45,1.3,2.06,0.65,0.45,1.8,1.92,2.51,2.43,0.08,1.71,2.45,2.23,2.47,0.62,1.22,2.22,2.17,1
0.82,0.74,-0.08,0.09,-0.98,-0.8,-1.34,-1.46,-2.93,-2.81,-0.44,-0.06,-0.55,-0.56,-0.97,-0.64,-0.01,-1.19,-1.96,-2.29,-2.19,-0.21,-0.22,-1.29,-1.52,1
-0.38,-0.11,-0.24,0.24,0.77,0.86,2.55,1.62,2.1,0.98,0.3,0.83,1.45,1.3,3.12,1.68,-0.22,0.29,1.84,2.58,1.7,-0.03,0.26,1.09,1.08,0
-0.27,-0.48,-0.16,0.14,1.16,0.92,2.28,1.73,2.02,1.3,0.22,0.54,1.15,1.37,2.84,1.86,0.01,0.99,1.53,2.21,1.75,0.23,0.29,1.16,1.28,1
0.77,0.47,0.18,-0.17,0.18,0.06,0.33,0.09,-0.8,-1.12,0.43,-0.3,0.49,0.3,0.1,0.42,-0.17,-0.47,0.22,0.26,-0.07,-0.2,-0.23,0.06,0.06,0
0.95,1.03,-0.06,0.07,-1.07,-0.82,-1.88,-2.16,-3.61,-3.93,-0.7,-0.67,-0.84,-0.85,-1.4,-1.15,-0.08,-1.39,-2.99,-3.26,-3.21,-0.21,-0.41,-1.71,-1.98,1
1.56,2.92,-0.4,0.47,-0.96,-0.32,-1.5,-0.91,-2.63,-1.81,-0.62,-0.03,-1.6,-1.12,-2.75,-1.45,-0.38,-0.76,-0.42,-1.05,-0.82,-0.85,-0.5,-0.45,-0.8,1
1.31,2.59,-0.14,0.23,-1.0,-0.7,-0.89,-0.62,1.07,-0.09,-0.59,-0.25,-1.97,-1.77,-2.64,-2.64,-0.18,-0.43,1.0,0.63,0.47,-0.69,-0.81,-0.1,-0.1,1
